ID,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual
PGA_scaffold5:59875987-59876048,0.145300574912453,-0.0683742813594332,0.124310878991578,0.680007828003723,0.580974667706877,4,12.9579562441662,-15.9159124883324,-12.0529688771335,0.185438335627904,12
PGA_scaffold6:10182891-10182921,0.51587994253433,0.394849928167912,0.017088861863118,4.26241329669273,0.0288421380835403,4,44.7076941400212,-79.4153882800423,-75.5524446688434,0.00350435039732075,12
PGA_scaffold6:10183005-10183320,0.599467347497955,0.499334184372444,0.00534068553565814,5.98670139628524,0.00980540291903616,4,63.3168601569098,-116.63372031382,-112.770776702621,0.000342275063889457,12
PGA_scaffold6:31009810-31009844,0.296820629471218,0.121025786839022,0.205166430100596,1.68844901833802,0.222241175659203,4,4.94138044945629,0.117239101087415,3.98018271228632,0.505119168482675,12
PGA_scaffold6:40281642-40281720,0.0806694916697784,-0.149163135412777,0.261449920926472,0.350992340355584,0.789234442791858,4,1.06264038098431,7.87471923803139,11.7376628492303,0.820272733829499,12
PGA_scaffold6:43375342-43375353,0.4992216349538,0.362645717213927,0.179100875468676,3.65526839002931,0.0476713244656042,4,6.83917519078532,-3.67835038157064,-0.138099376059586,0.352848359530107,11
PGA_scaffold6:43948884-43948888,0.32629006925441,0.142550997232886,0.272794376701476,1.77583388042902,0.209772481346354,4,0.527638461553745,8.94472307689251,12.4849740824036,0.818584491559417,11
PGA_scaffold6:46440055-46440094,0.52939174422668,0.388209267494684,0.235035463269023,3.74969866289862,0.0486483214781104,4,2.76243035322172,4.47513929355657,7.67042594163286,0.552416689940841,10
PGA_scaffold6:8461343-8461359,0.819606226382507,0.759474968510009,0.136236333931936,13.6302857345908,0.00107410017655118,4,9.85774411367559,-9.71548822735118,-6.89074144004349,0.167043048148926,9
PGA_scaffold7:39526917-39527241,0.433676108810581,0.279224138486194,0.182110088523758,2.80783798290015,0.0890676134643452,4,6.58924235581942,-3.17848471163885,0.361766293872204,0.364804927763442,11
PGA_scaffold7:5473022-5473047,0.363519563662111,0.189933990115414,0.339683611434783,2.09418073307987,0.159142830308419,4,-2.76180629763784,15.5236125952757,19.0638636007867,1.26923451465114,11
PGA_scaffold8:11512309-11512355,0.239053477743723,0.0315226080374659,0.183139873415748,1.1518935861546,0.371471305651426,4,6.50466020157722,-3.00932040315443,0.530930602356618,0.3689423455821,11
PGA_scaffold8:17534473-17534627,0.501880225681248,0.36602937813977,0.143382953822652,3.69434740205072,0.0463874501954541,4,10.175627405389,-10.351254810778,-6.81100380526692,0.226145385915997,11
PGA_scaffold8:24004525-24004552,0.456880677607175,0.293944880889327,0.171298942139774,2.80405341742272,0.0944335837468102,4,7.19099687963994,-4.38199375927989,-1.1867071112036,0.293433275782056,10
PGA_scaffold8:55775768-55775824,0.43126242154938,0.260641148014194,0.19199463098527,2.52760053077698,0.116517108849356,4,5.59419638497528,-1.18839276995056,2.00689387812573,0.368619383271701,10
PGA_scaffold8:5877898-5878082,0.0695283383580208,-0.163089577052474,0.290766640602514,0.298895028077807,0.825577467240129,4,-0.637811858052691,11.2756237161054,15.1385673273043,1.01454287144726,12
PGA_scaffold9:21159874-21159960,0.760098278672449,0.694670536492207,0.235774480380127,11.6173698395173,0.00098039029429292,4,2.71527680073215,4.56944639853571,8.10969740404676,0.611485661583709,11
PGA_scaffold9:32354166-32354260,0.411378731481981,0.264223414352476,0.166521059151929,2.79554106169296,0.0856419284684157,4,8.2805759870078,-6.56115197401559,-2.69820836281668,0.332751157692962,12
PGA_scaffold9:8925264-8925373,0.206000766465628,0.00750095808203444,0.157235522536707,1.03778823840242,0.410922882181351,4,9.19860731520659,-8.39721463041317,-4.53427101921427,0.296676114568696,12
